Study,IRR,CI_lo,CI_hi,logIRR,SE_log,DataType,Source,Year
Xu et al. 2024 (Age 20–29),1.53,1.43,1.65,0.4253,0.03651,Incidence/Mortality RR with CI,"SEER 17, US",2024
Xu et al. 2024 (Age 30–39),1.15,1.12,1.18,0.1398,0.01331,Incidence/Mortality RR with CI,"SEER 17, US",2024
Xu et al. 2024 (Age 40–49),0.96,0.94,0.97,-0.0408,0.00801,Incidence/Mortality RR with CI,"SEER 17, US",2024
"Sung et al. 2025 (Invasive, mortality)",1.39,1.33,1.45,0.3293,0.02204,Incidence/Mortality RR with CI,"SEER 12, US",2025
"Sung et al. 2025 (DCIS, mortality)",1.87,1.52,2.27,0.6259,0.10231,Incidence/Mortality RR with CI,"SEER 12, US",2025
"Giaquinto et al. 2022 (All-age, US)",0.956,N/A,N/A,-0.045,N/A,Incidence rate ratio (calculated),"ACS, US",2022
"Giaquinto et al. 2025 (ILC, US)",0.748,N/A,N/A,-0.2904,N/A,Incidence rate ratio (calculated),"NCI+CDC, US",2025
"Singh et al. 2017 (SA, Black vs White)",0.373,N/A,N/A,-0.9862,N/A,Incidence rate ratio (calculated),SA NCR,2017
"POOLED (Random-Effects, CI studies only)",1.323,1.112,1.574,0.2798,0.08882,"Pooled RE (I²=99.2%, τ²=0.0373)",Meta-analysis,2025
